01:35.609  render           | Fra: 40 | Rendering 25 / 64 samples
01:35.906  render           | Fra: 40 | Rendering 50 / 64 samples
01:36.031  render           | Fra: 40 | Rendering 64 / 64 samples
01:36.328  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0040.png'
01:36.328  render           | Time: 00:01.31 (Saving: 00:00.20)
01:36.328  render           | Rendering frame 41
01:36.328  render           | Start rendering: Scene, ViewLayer
01:36.328  render           | Engine: EEVEE
01:36.500  render           | Fra: 41 | Rendering 1 / 64 samples
01:36.906  render           | Fra: 41 | Rendering 25 / 64 samples
01:37.172  render           | Fra: 41 | Rendering 50 / 64 samples
01:37.343  render           | Fra: 41 | Rendering 64 / 64 samples
01:37.656  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0041.png'
01:37.656  render           | Time: 00:01.31 (Saving: 00:00.20)
01:37.656  render           | Rendering frame 42
01:37.656  render           | Start rendering: Scene, ViewLayer
01:37.656  render           | Engine: EEVEE
01:37.828  render           | Fra: 42 | Rendering 1 / 64 samples
01:38.172  render           | Fra: 42 | Rendering 25 / 64 samples
01:38.453  render           | Fra: 42 | Rendering 50 / 64 samples
01:38.672  render           | Fra: 42 | Rendering 64 / 64 samples
01:39.000  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0042.png'
01:39.000  render           | Time: 00:01.33 (Saving: 00:00.20)
01:39.000  render           | Rendering frame 43
01:39.000  render           | Start rendering: Scene, ViewLayer
01:39.000  render           | Engine: EEVEE
01:39.156  render           | Fra: 43 | Rendering 1 / 64 samples
01:39.422  render           | Fra: 43 | Rendering 25 / 64 samples
01:39.781  render           | Fra: 43 | Rendering 50 / 64 samples
01:40.015  render           | Fra: 43 | Rendering 64 / 64 samples
01:40.297  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0043.png'
01:40.297  render           | Time: 00:01.30 (Saving: 00:00.19)
01:40.297  render           | Rendering frame 44
01:40.297  render           | Start rendering: Scene, ViewLayer
01:40.297  render           | Engine: EEVEE
01:40.453  render           | Fra: 44 | Rendering 1 / 64 samples
01:40.703  render           | Fra: 44 | Rendering 25 / 64 samples
01:41.078  render           | Fra: 44 | Rendering 50 / 64 samples
01:41.297  render           | Fra: 44 | Rendering 64 / 64 samples
01:41.609  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0044.png'
01:41.609  render           | Time: 00:01.30 (Saving: 00:00.19)
01:41.609  render           | Rendering frame 45
01:41.609  render           | Start rendering: Scene, ViewLayer
01:41.609  render           | Engine: EEVEE
01:41.765  render           | Fra: 45 | Rendering 1 / 64 samples
01:42.078  render           | Fra: 45 | Rendering 25 / 64 samples
01:42.468  render           | Fra: 45 | Rendering 50 / 64 samples
01:42.687  render           | Fra: 45 | Rendering 64 / 64 samples
01:43.015  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0045.png'
01:43.015  render           | Time: 00:01.41 (Saving: 00:00.22)
01:43.015  render           | Rendering frame 46
01:43.015  render           | Start rendering: Scene, ViewLayer
01:43.031  render           | Engine: EEVEE
01:43.218  render           | Fra: 46 | Rendering 1 / 64 samples
01:43.562  render           | Fra: 46 | Rendering 25 / 64 samples
01:43.984  render           | Fra: 46 | Rendering 50 / 64 samples
01:44.218  render           | Fra: 46 | Rendering 64 / 64 samples
01:44.578  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0046.png'
01:44.578  render           | Time: 00:01.55 (Saving: 00:00.23)
01:44.578  render           | Rendering frame 47
01:44.578  render           | Start rendering: Scene, ViewLayer
01:44.578  render           | Engine: EEVEE
01:44.750  render           | Fra: 47 | Rendering 1 / 64 samples
01:45.140  render           | Fra: 47 | Rendering 25 / 64 samples
01:45.547  render           | Fra: 47 | Rendering 50 / 64 samples
01:45.765  render           | Fra: 47 | Rendering 64 / 64 samples
01:46.156  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0047.png'
01:46.156  render           | Time: 00:01.57 (Saving: 00:00.25)
01:46.156  render           | Rendering frame 48
01:46.156  render           | Start rendering: Scene, ViewLayer
01:46.156  render           | Engine: EEVEE
01:46.390  render           | Fra: 48 | Rendering 1 / 64 samples
01:46.797  render           | Fra: 48 | Rendering 25 / 64 samples
01:47.203  render           | Fra: 48 | Rendering 50 / 64 samples
01:47.422  render           | Fra: 48 | Rendering 64 / 64 samples
01:47.718  render           | Saved: 'C:\Users\wole1\OneDrive\Desktop\hitech-portal\public\city-anim\frame_0048.png'
01:47.718  render           | Time: 00:01.56 (Saving: 00:00.18)
01:47.718  render           | Rendering frame 49
01:47.718  render           | Start rendering: Scene, ViewLayer
01:47.718  render           | Engine: EEVEE
01:47.922  render           | Fra: 49 | Rendering 1 / 64 samples
